종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"105740","디케이락","KOSDAQ","기계·장비","7100","-230","-3.14","72196442300"
"263020","디케이앤디","KOSDAQ","화학","3465","15","0.43","52216964415"
"290550","디케이티","KOSDAQ","전기·전자","7900","-250","-3.07","158009717000"
"066670","디티씨","KOSDAQ","전기·전자","3285","-15","-0.45","61402950630"
"187220","디티앤씨","KOSDAQ","일반서비스","3530","-170","-4.59","41294014130"
"383930","디티앤씨알오","KOSDAQ","일반서비스","7600","410","5.70","97055891200"
"131180","딜리","KOSDAQ","전기·전자","1004","-2","-0.20","29467400000"
"315640","딥노이드","KOSDAQ","출판·매체복제","6440","-150","-2.28","144392965920"
"223310","딥마인드","KOSDAQ","유통","2220","15","0.68","50703412500"
"317120","라닉스","KOSDAQ","전기·전자","3460","-30","-0.86","33423600000"
"462510","라메디텍","KOSDAQ","의료·정밀기기","11130","880","8.59","96282680550"
"042510","라온시큐어","KOSDAQ","출판·매체복제","1858","-36","-1.90","104096068318"
"232680","라온테크","KOSDAQ","기계·장비","6830","40","0.59","85608818220"
"418420","라온텍","KOSDAQ","전기·전자","3190","-65","-2.00","96045901270"
"300120","라온피플","KOSDAQ","출판·매체복제","4790","-270","-5.34","99919457480"
"171120","라이온켐텍","KOSDAQ","화학","2355","-120","-4.85","84548644800"
"388790","라이콤","KOSDAQ","전기·전자","3030","-170","-5.31","90639207900"
"347700","라이프시맨틱스","KOSDAQ","출판·매체복제","3550","-60","-1.66","70980180350"
"214260","라파스","KOSDAQ","화학","17530","-820","-4.47","156234985550"
"200350","래몽래인","KOSDAQ","오락·문화","13280","100","0.76","132747212000"
"171010","램테크놀러지","KOSDAQ","화학","3635","-20","-0.55","51975963520"
"084650","랩지노믹스","KOSDAQ","일반서비스","3310","-165","-4.75","245734366900"
"217500","러셀","KOSDAQ","기계·장비","1690","-105","-5.85","53762280000"
"038390","레드캡투어","KOSDAQ","일반서비스","15800","80","0.51","135713784000"
"294140","레몬","KOSDAQ","화학","4380","-70","-1.57","91980000000"
"443250","레뷰코퍼레이션","KOSDAQ","일반서비스","9320","320","3.56","105123877520"
"228670","레이","KOSDAQ","의료·정밀기기","8300","-310","-3.60","128610608200"
"228850","레이언스","KOSDAQ","의료·정밀기기","6840","-90","-1.30","113482535760"
"412350","레이저쎌","KOSDAQ","기계·장비","4965","-105","-2.07","43329415980"
"199550","레이저옵텍","KOSDAQ","의료·정밀기기","6780","-20","-0.29","79034100660"
"281740","레이크머티리얼즈","KOSDAQ","화학","14080","-120","-0.85","925486115840"
"277810","레인보우로보틱스","KOSDAQ","기계·장비","122000","-2300","-1.85","2366782676000"
"215100","로보로보","KOSDAQ","전기·전자","3130","-85","-2.64","63690661020"
"090360","로보스타","KOSDAQ","기계·장비","20250","-400","-1.94","197437500000"
"108490","로보티즈","KOSDAQ","기계·장비","17180","-410","-2.33","224261964700"
"900260","로스웰","KOSDAQ","금융","676","0","0.00","24357150688"
"067730","로지시스","KOSDAQ","일반서비스","2595","-5","-0.19","25103827590"
"071280","로체시스템즈","KOSDAQ","기계·장비","18510","-840","-4.34","283140121530"
"328130","루닛","KOSDAQ","출판·매체복제","37750","-300","-0.79","1089961488000"
"038060","루멘스","KOSDAQ","전기·전자","1240","5","0.40","59647805560"
"474170","루미르","KOSDAQ","운송장비·부품","9310","-90","-0.96","159710219760"
"141080","리가켐바이오","KOSDAQ","일반서비스","126000","-5000","-3.82","4607485848000"
"058470","리노공업","KOSDAQ","전기·전자","180600","-300","-0.17","2752772022000"
"016100","리더스코스메틱","KOSDAQ","종이·목재","2620","0","0.00","50044342280"
"012700","리드코프","KOSDAQ","유통","4305","-25","-0.58","113850611175"
"302550","리메드","KOSDAQ","의료·정밀기기","3430","170","5.21","105088614400"
"073570","리튬포어스","KOSDAQ","기타제조","1630","-40","-2.40","58988880110"
"377450","리파인","KOSDAQ","일반서비스","13510","-170","-1.24","234128300000"
"277070","린드먼아시아","KOSDAQ","금융","3960","-80","-1.98","54220320000"
"042500","링네트","KOSDAQ","일반서비스","4585","-95","-2.03","87436564390"
"193250","링크드","KOSDAQ","전기·전자","433","-13","-2.91","27419022241"
"219420","링크제니시스","KOSDAQ","출판·매체복제","4195","-90","-2.10","48114581865"
"439090","마녀공장","KOSDAQ","화학","18000","-600","-3.23","294808680000"
"195500","마니커에프앤지","KOSDAQ","음식료·담배","2865","-15","-0.52","45776970000"
"377480","마음AI","KOSDAQ","출판·매체복제","10130","-200","-1.94","63203561980"
"305090","마이크로디지탈","KOSDAQ","의료·정밀기기","13100","-970","-6.89","216633259000"
"098120","마이크로컨텍솔","KOSDAQ","전기·전자","5180","10","0.19","43060127880"
"424980","마이크로투나노","KOSDAQ","전기·전자","9010","10","0.11","53329198900"
"038290","마크로젠","KOSDAQ","일반서비스","17570","-240","-1.35","190483398000"
"267980","매일유업","KOSDAQ","음식료·담배","38000","150","0.40","298058244000"
"005990","매일홀딩스","KOSDAQ","음식료·담배","8350","-40","-0.48","114547838400"
"093520","매커스","KOSDAQ","유통","8450","-170","-1.97","136578127400"
"377030","맥스트","KOSDAQ","출판·매체복제","2305","55","2.44","45110883010"
"100590","머큐리","KOSDAQ","전기·전자","3325","-50","-1.48","52634826475"
"067280","멀티캠퍼스","KOSDAQ","일반서비스","30100","-50","-0.17","178396047900"
